energyType,standingCharge,unitRate,startDate,endDate
electricity,47.56,29.38,2024-01-01,2024-03-30
gas,29.60,7.45,2024-01-01,2024-03-30
electricity,44.961,26.758,2023-10-01,2023-12-31
gas,27.726,6.594,2023-10-01,2023-12-31
electricity,44.961,29.428,2023-07-01,2023-09-30
gas,27.726,7.179,2023-07-01,2023-09-30
electricity,44.961,49.117,2023-04-01,2023-06-30
gas,27.726,11.990,2023-04-01,2023-06-30
electricity,40.646,65.555,2023-01-01,2023-03-30
gas,27.128,16.229,2023-01-01,2023-03-30
electricity,40.646,50.630,2022-10-01,2022-12-31
gas,27.128,14.021,2022-10-01,2022-12-31
